Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Jede Feier planen, für jeden Anlass",https://d8j0ntlcm91z4.cloudfront.net/user_3EzQWq2PztIpmRyoVyluIhbJYPZ/hf_20260616_102050_2b432a28-f7d8-49c9-bd96-49a4696ef394.png,Party & Gastgeben Ideen,,"Wähl deinen Anlass — Mädelsabend, WM-Party, Cocktailabend und mehr — und bau dir in Minuten eine fertige Einkaufsliste.",https://bethathost.de/,2026-06-25T10:00:00,"party planen, gastgeben, feier ideen, deko"
Den ultimativen Mädelsabend planen,https://d8j0ntlcm91z4.cloudfront.net/user_3EzQWq2PztIpmRyoVyluIhbJYPZ/hf_20260619_093316_175d0bda-4257-447a-9d56-f71df851edcf.jpeg,Party & Gastgeben Ideen,,"Spiele, Drinks, Snacks, Deko, Pflege & Filmabend — alles für den Mädelsabend, nach Kategorie sortiert.",https://bethathost.de/girlsnight/,2026-06-25T16:00:00,"mädelsabend, girls night, deko, cocktails, spiele"
Die ultimative WM-Party zuhause,https://d8j0ntlcm91z4.cloudfront.net/user_3EzQWq2PztIpmRyoVyluIhbJYPZ/hf_20260616_152657_1bb48609-783b-42a8-883c-c35ea268b938.jpeg,Party & Gastgeben Ideen,,"Beamer-Setup, Snacks, Getränke, schwarz-rot-gold Deko und ein Tippspiel — alles für die WM-Party, nach Kategorie sortiert.",https://bethathost.de/watchparty/,2026-06-26T10:00:00,"wm party, fußball party, public viewing zuhause, snacks"
Den perfekten Cocktailabend zuhause,https://d8j0ntlcm91z4.cloudfront.net/user_3EzQWq2PztIpmRyoVyluIhbJYPZ/hf_20260616_170508_7fcabce5-2573-474e-881a-ea2123bde7e3.png,Party & Gastgeben Ideen,,"Bar-Ausstattung, Gläser, Zutaten, Snacks & Deko — alles für den Cocktailabend, nach Kategorie sortiert.",https://bethathost.de/cocktailabend/,2026-06-26T16:00:00,"cocktailabend, hausbar, cocktails, drinks"
Sonntags Family Brunch: planen & ausstatten,https://d8j0ntlcm91z4.cloudfront.net/user_3EzQWq2PztIpmRyoVyluIhbJYPZ/hf_20260619_120912_2dbd9786-2b7a-4452-8891-56359da6d0ed.png,Party & Gastgeben Ideen,,"Etagere, Waffeleisen, Kaffeebereiter & ein schön gedeckter Tisch — alles für den entspannten Sonntags-Brunch.",https://bethathost.de/brunch/,2026-06-27T10:00:00,"brunch ideen, sonntagsbrunch, frühstückstisch, brunch deko"
"Geburtstag zuhause feiern: Deko, Torte & Ideen",https://d8j0ntlcm91z4.cloudfront.net/user_3EzQWq2PztIpmRyoVyluIhbJYPZ/hf_20260619_131510_f42e1582-c5cf-4d92-ae84-da14ae5d3a58.jpeg,Party & Gastgeben Ideen,,"Ballon-Girlande, Tortenplatte, Lichter & Spiele — alles für den Geburtstag zuhause, mit konkreten Empfehlungen.",https://bethathost.de/geburtstag/,2026-06-27T16:00:00,"geburtstag deko, geburtstagsparty zuhause, torte, ballons"
Spa-Abend zuhause: Wellness-Ideen & Ausstattung,https://d8j0ntlcm91z4.cloudfront.net/user_3EzQWq2PztIpmRyoVyluIhbJYPZ/hf_20260619_131513_ca67c668-3988-47a8-ae10-e0a8c84dbc1b.jpeg,Party & Gastgeben Ideen,,"Kerzen, Masken, Badebomben, Bademantel & Tee — alles für den Spa-Abend zuhause, mit konkreten Empfehlungen.",https://bethathost.de/spa-abend/,2026-06-28T10:00:00,"spa abend, wellness zuhause, selfcare, gesichtsmaske"
Valentinstag zuhause: Date Night romantisch planen,https://d8j0ntlcm91z4.cloudfront.net/user_3EzQWq2PztIpmRyoVyluIhbJYPZ/hf_20260619_140133_9c245de8-e0ad-4025-b377-83f15b85672d.jpeg,Party & Gastgeben Ideen,,"Kerzen, gedeckter Tisch für zwei, Fondue & Sekt und eine süße Überraschung — alles für die Date Night zuhause.",https://bethathost.de/valentinstag/,2026-06-28T16:00:00,"valentinstag ideen, date night, romantisch, deko"
Saison-Deko für Herbst & Winter: gemütlich einrichten,https://d8j0ntlcm91z4.cloudfront.net/user_3EzQWq2PztIpmRyoVyluIhbJYPZ/hf_20260619_140138_00ae988e-b750-41e0-86e7-6276d357ee01.png,Party & Gastgeben Ideen,,"Warmes Licht, Kuscheldecken, Trockenblumen & Kerzen — alles für gemütliche Herbst- und Winter-Deko.",https://bethathost.de/saison-deko/,2026-06-29T10:00:00,"herbstdeko, winterdeko, gemütlich, dekoideen"
Spieleabend zuhause: Ideen & Ausstattung,https://d8j0ntlcm91z4.cloudfront.net/user_3EzQWq2PztIpmRyoVyluIhbJYPZ/hf_20260620_212746_90574813-49c7-4027-b869-be1ce11d3546.png,Party & Gastgeben Ideen,,"Spiele, Snacks, gemütliche Runde & Extras — alles für den perfekten Spieleabend zuhause.",https://bethathost.de/spieleabend/,2026-06-29T16:00:00,"spieleabend, brettspiele, game night, snacks"
Grillabend im Garten: Ausstattung & Ideen,https://d8j0ntlcm91z4.cloudfront.net/user_3EzQWq2PztIpmRyoVyluIhbJYPZ/hf_20260620_212748_255f306a-9b4d-449b-8296-828d7f87638c.png,Party & Gastgeben Ideen,,"Grill, Besteck, Outdoor-Geschirr, Kühlbox & Lichterketten — alles für den entspannten Grillabend.",https://bethathost.de/grillabend/,2026-06-30T10:00:00,"grillen, bbq, grillparty, gartenparty"
"Gartenparty planen: Deko, Licht & Ausstattung für draußen",https://d8j0ntlcm91z4.cloudfront.net/user_3EzQWq2PztIpmRyoVyluIhbJYPZ/hf_20260622_073533_1cc48a50-52c6-4dab-9aa2-368e6b282561.png,Party & Gastgeben Ideen,,"Lichterketten, Sonnenschutz, Getränkespender, Kühlbox, Bluetooth-Box & Sommerdeko — alles für die perfekte Gartenparty.",https://bethathost.de/gartenparty/,2026-06-30T16:00:00,"gartenparty, sommerparty, lichterketten, outdoor deko"
Mexikanische Fiesta: Taco- & Margarita-Party planen,https://d8j0ntlcm91z4.cloudfront.net/user_3EzQWq2PztIpmRyoVyluIhbJYPZ/hf_20260622_141557_17a3f7dd-36d4-4092-bf09-d51a051852fb.png,Party & Gastgeben Ideen,,"Papel Picado, Taco-Buffet, Margaritas & Piñata — alles für die mexikanische Mottoparty zuhause.",https://bethathost.de/mexiko-fiesta/,2026-07-01T10:00:00,"mexikanische party, fiesta, taco party, margarita, mottoparty"
"JGA planen: Junggesellinnenabschied-Ideen, Deko & Spiele",https://d8j0ntlcm91z4.cloudfront.net/user_3EzQWq2PztIpmRyoVyluIhbJYPZ/hf_20260622_142023_04fcad01-cbb9-4345-851f-e298d7c79728.png,Party & Gastgeben Ideen,,"Team-Bride-Outfits, Deko, Spiele & Survival-Kit — alles für den Junggesellinnenabschied, motto-exakt mit direkten Links.",https://bethathost.de/jga/,2026-07-01T16:00:00,"jga, junggesellinnenabschied, team braut, bachelorette, deko"
"Hawaii-Party planen: Tiki-Deko, Drinks & Outfits",https://d8j0ntlcm91z4.cloudfront.net/user_3EzQWq2PztIpmRyoVyluIhbJYPZ/hf_20260623_162413_2e180fd4-e250-4835-96e5-ee7e07cd6b31.jpeg,Party & Gastgeben Ideen,,"Leis, Tiki-Deko, tropische Drinks & Outfits — alles für die Hawaii-/Luau-Party, motto-exakt mit direkten Links.",https://bethathost.de/hawaii-tiki/,2026-07-02T10:00:00,"hawaii party, tiki party, luau, sommerparty, mottoparty"
Getränke-Station für die WM-Party,https://d8j0ntlcm91z4.cloudfront.net/user_3EzQWq2PztIpmRyoVyluIhbJYPZ/hf_20260618_154515_639f6e70-4162-4109-b187-9eb0f2a1c49f.png,Party & Gastgeben Ideen,,"Kühlbox, Tisch-Zapfanlage & schwarz-rot-gold Becher: die Selbstbedienungs-Getränkestation für den Spieltag. #wm2026 #partygetraenke #fussballparty #gameday #rudelgucken",https://bethathost.de/watchparty/#cat-drinks,2026-07-02T16:00:00,"wm party, partygetränke, fußball party, getränkestation, rudelgucken"
WM-Tippspiel & Spiele für den Spieltag,https://d8j0ntlcm91z4.cloudfront.net/user_3EzQWq2PztIpmRyoVyluIhbJYPZ/hf_20260618_154516_12c268d6-e146-447c-bf79-3eed2cf02f18.png,Party & Gastgeben Ideen,,"Spielplan-Poster, Tippspiel-Block & Tischkicker — so wird sogar die Halbzeit zum Highlight. #wm2026 #tippspiel #fussballparty #spieltag #gameday",https://bethathost.de/watchparty/#cat-games,2026-07-03T10:00:00,"wm tippspiel, fußball party, spieltag, partyspiele, gameday"
Das ultimative Filmabend-Setup für den Mädelsabend,https://d8j0ntlcm91z4.cloudfront.net/user_3EzQWq2PztIpmRyoVyluIhbJYPZ/hf_20260619_074229_098eb267-5e39-434c-97f7-697bc04d1e25.png,Party & Gastgeben Ideen,,"Kuschelige Decken, eine Popcorn-Bar und eine Watchlist — so geht Filmabend mit den Mädels richtig. #filmabend #movienight #mädelsabend #cozy #girlsnight",https://bethathost.de/girlsnight/#cat-movie,2026-07-03T16:00:00,"filmabend, movie night, mädelsabend, popcorn bar, girls night"
"Sirupe, Bitters & Filler für richtig gute Drinks",https://d8j0ntlcm91z4.cloudfront.net/user_3EzQWq2PztIpmRyoVyluIhbJYPZ/hf_20260619_083548_3af02951-d940-40c6-a776-8492e58785fa.png,Party & Gastgeben Ideen,,"Die Zutaten, die deine Cocktails auf Bar-Niveau heben — plus alkoholfreie Optionen. #cocktails #mixology #cocktailabend #mocktails #barzuhause",https://bethathost.de/cocktailabend/#cat-mixer,2026-07-04T10:00:00,"cocktails, mixology, sirup, bitters, cocktailabend"
Hygge Living: Simple Habits for a Cozier Home,https://d8j0ntlcm91z4.cloudfront.net/user_3EzQWq2PztIpmRyoVyluIhbJYPZ/hf_20260615_131540_48e4041a-0f3d-49eb-bfb0-1ec977d3aa84.png,Party & Gastgeben Ideen,,"Hygge isn't about buying things — it's how you live in your space. 12 simple hygge habits that make any home feel warmer, calmer and cozier. #hygge #cozyhome #cozyliving #slowliving #cozyvibes",https://bethathost.de/cozy/posts/hygge-living-habits.html,2026-07-04T16:00:00,"hygge, cozy home, gemütlich wohnen, slow living, wohnideen"
